hhno,pno,tour,pdpurp,half,tseg,mode,autotime,transittime,biketime,walktime,travcost,travdist
10,1,1,1,1,1,2,0,0,30,0,1.2,6
10,1,1,1,2,1,2,0,0,30,0,1.2,6
10,1,1,1,2,2,3,3,0,0,0,0.1,0.5
10,1,2,3,1,1,4,30,0,0,0,2.8,14
10,1,2,3,2,1,3,30,0,0,0,2.8,14
10,1,2,3,2,2,4,3,0,0,0,0.1,0.5
10,1,3,4,1,1,4,6,0,0,0,0.4,2
10,1,3,4,2,1,4,6,0,0,0,0.4,2
20,1,1,5,1,1,3,34,0,0,0,3.2,16
20,1,1,5,1,2,3,3,0,0,0,0.1,0.5
20,1,1,5,2,1,3,34,0,0,0,3.2,16
20,1,1,5,2,2,3,3,0,0,0,0.1,0.5
20,2,1,6,1,1,4,3,0,0,0,0.1,0.5
20,2,1,6,2,1,4,3,0,0,0,0.1,0.5
40,1,1,1,1,1,3,18,0,0,0,1.6,8
40,1,1,1,1,2,3,3,0,0,0,0.1,0.5
40,1,1,1,2,1,3,18,0,0,0,1.6,8
40,1,1,1,2,2,3,3,0,0,0,0.1,0.5
40,1,1,1,2,3,3,3,0,0,0,0.1,0.5
40,2,1,1,1,1,4,26,0,0,0,2.4,12
40,2,1,1,1,2,3,3,0,0,0,0.1,0.5
40,2,1,1,2,1,3,26,0,0,0,2.4,12
40,2,2,3,1,1,6,0,16,0,10,2.4,12
40,2,2,3,2,1,6,0,16,0,10,2.4,12
40,3,1,3,1,1,5,3,0,0,0,0.1,0.5
40,3,1,3,1,2,5,3,0,0,0,0.1,0.5
40,3,1,3,2,1,4,3,0,0,0,0.1,0.5
40,3,1,3,2,2,5,3,0,0,0,0.1,0.5
40,4,1,4,1,1,4,10,0,0,0,0.8,4
40,4,1,4,2,1,4,10,0,0,0,0.8,4
40,5,1,3,1,1,5,26,0,0,0,2.4,12
40,5,1,3,2,1,3,26,0,0,0,2.4,12
40,5,1,3,2,2,3,3,0,0,0,0.1,0.5
40,5,1,3,2,3,5,3,0,0,0,0.1,0.5
40,5,2,4,1,1,4,3,0,0,0,0.1,0.5
40,5,2,4,2,1,4,3,0,0,0,0.1,0.5
40,5,3,5,1,1,4,10,0,0,0,0.8,4
40,5,3,5,2,1,4,10,0,0,0,0.8,4
40,6,1,7,1,1,4,10,0,0,0,0.8,4
40,6,1,7,1,2,3,3,0,0,0,0.1,0.5
40,6,1,7,2,1,4,10,0,0,0,0.8,4
40,6,1,7,2,2,4,3,0,0,0,0.1,0.5
40,6,2,7,1,1,5,3,0,0,0,0.1,0.5
40,6,2,7,1,2,5,3,0,0,0,0.1,0.5
40,6,2,7,2,1,5,3,0,0,0,0.1,0.5
50,1,1,6,1,1,5,6,0,0,0,0.4,2
50,1,1,6,2,1,5,6,0,0,0,0.4,2
50,1,1,6,2,2,4,3,0,0,0,0.1,0.5
50,2,1,1,1,1,5,6,0,0,0,0.4,2
50,2,1,1,2,1,5,6,0,0,0,0.4,2
50,2,1,1,2,2,5,3,0,0,0,0.1,0.5
50,2,2,1,1,1,3,6,0,0,0,0.4,2
50,2,2,1,1,2,5,3,0,0,0,0.1,0.5
50,2,2,1,1,3,5,3,0,0,0,0.1,0.5
50,2,2,1,1,4,5,3,0,0,0,0.1,0.5
50,2,2,1,2,1,5,6,0,0,0,0.4,2
50,3,1,2,1,1,5,6,0,0,0,0.4,2
50,3,1,2,2,1,5,6,0,0,0,0.4,2
50,3,2,5,1,1,5,14,0,0,0,1.2,6
50,3,2,5,2,1,5,14,0,0,0,1.2,6
60,1,1,1,1,1,3,18,0,0,0,1.6,8
60,1,1,1,2,1,3,18,0,0,0,1.6,8
60,1,1,1,2,2,3,3,0,0,0,0.1,0.5
60,1,1,1,2,3,3,3,0,0,0,0.1,0.5
60,1,1,1,2,4,3,3,0,0,0,0.1,0.5
60,1,2,7,1,1,3,18,0,0,0,1.6,8
60,1,2,7,2,1,3,18,0,0,0,1.6,8
60,2,1,5,1,1,4,10,0,0,0,0.8,4
60,2,1,5,2,1,4,10,0,0,0,0.8,4
70,1,1,1,1,1,3,22,0,0,0,2,10
70,1,1,1,2,1,3,22,0,0,0,2,10
70,2,1,1,1,1,3,6,0,0,0,0.4,2
70,2,1,1,2,1,3,6,0,0,0,0.4,2
70,3,1,2,1,1,5,22,0,0,0,2,10
70,3,1,2,1,2,4,3,0,0,0,0.1,0.5
70,3,1,2,2,1,5,22,0,0,0,2,10
80,1,1,3,1,1,5,26,0,0,0,2.4,12
80,1,1,3,2,1,3,26,0,0,0,2.4,12
80,1,2,3,1,1,3,3,0,0,0,0.1,0.5
80,1,2,3,2,1,3,3,0,0,0,0.1,0.5
80,1,2,3,2,2,3,3,0,0,0,0.1,0.5
80,1,3,3,1,1,5,18,0,0,0,1.6,8
80,1,3,3,2,1,4,18,0,0,0,1.6,8
80,2,1,4,1,1,3,10,0,0,0,0.8,4
80,2,1,4,1,2,3,3,0,0,0,0.1,0.5
80,2,1,4,2,1,3,10,0,0,0,0.8,4
80,2,2,7,1,1,3,10,0,0,0,0.8,4
80,2,2,7,2,1,3,10,0,0,0,0.8,4
80,3,1,2,1,1,5,26,0,0,0,2.4,12
80,3,1,2,2,1,5,26,0,0,0,2.4,12
80,4,1,2,1,1,8,24,0,0,0,0,4
80,4,1,2,2,1,8,24,0,0,0,0,4
90,1,1,1,1,1,3,14,0,0,0,1.2,6
90,1,1,1,2,1,3,14,0,0,0,1.2,6
90,1,1,1,2,2,3,3,0,0,0,0.1,0.5
90,1,2,1,1,1,3,14,0,0,0,1.2,6
90,1,2,1,1,2,4,3,0,0,0,0.1,0.5
